country,year,oze_share,energy_price,inflation,gdp_per_capita
Hungary,2022,15.128,0.08756111111111112,15.3,16160.0
Ireland,2022,13.017,0.28330555555555553,8.1,91760.0
Iceland,2022,78.735,0.15204722222222222,5.7,59720.0
Italy,2022,18.826,0.3525222222222222,8.7,32310.0
Lithuania,2022,29.599,0.17410277777777777,18.9,19350.0
Luxembourg,2022,14.286,0.20304166666666668,8.2,104100.0
Latvia,2022,43.786,0.21721944444444444,17.2,16890.0
Montenegro,2022,41.064,0.09724444444444444,11.9,8100.0
North Macedonia,2022,20.01,0.09720000000000001,14.0,6360.0
Malta,2022,14.04,0.204475,6.1,31390.0
Netherlands,2022,15.291,0.06874444444444444,11.6,51480.0
Norway,2022,76.782,0.2368,6.2,66670.0
Poland,2022,16.644,0.14000833333333335,13.2,15840.0
Portugal,2022,34.675,0.2303111111111111,8.1,21690.0
Romania,2022,24.229,0.24565833333333334,12.0,12690.0
Serbia,2022,24.67,0.1082111111111111,11.7,8160.0
Sweden,2022,66.287,0.22788055555555553,8.1,48390.0
Slovenia,2022,25.002,0.15725833333333333,9.3,24660.0
Slovakia,2022,17.482,0.1643222222222222,12.1,18360.0
Austria,2023,41.6,0.28595,7.7,45670.0
Belgium,2023,14.673,0.3778972222222222,2.3,44190.0
Bulgaria,2023,23.151,0.10359444444444445,8.6,10950.0
Cyprus,2023,20.213,0.33390000000000003,3.9,29320.0
Czech Republic,2023,18.555,0.2996166666666667,12.0,21680.0
Germany,2023,21.512,0.3678722222222222,6.0,43450.0
Denmark,2023,43.728,0.30009722222222224,3.4,56470.0
Estonia,2023,40.95,0.19781944444444444,9.1,21210.0
Greece,2023,25.269,0.2485861111111111,4.2,18600.0
Spain,2023,24.981,0.2646888888888889,3.4,27150.0
Finland,2023,50.784,0.22034722222222222,4.3,43280.0
France,2023,22.462,0.25180277777777776,5.7,37730.0
Croatia,2023,28.088,0.1509611111111111,8.4,16490.0
Hungary,2023,17.117,0.10288611111111111,17.0,16050.0
